CNRdiff,mean,sd
-42,-42,NA
-40,-7.5,14.849242404917497
-39,11,NA
-38,-20,NA
-37,-4,11.789826122551595
-36,6,16.97056274847714
-35,-23,NA
-34,7,NA
-33,-2,NA
-32,-1,8.48528137423857
-31,2.5,4.949747468305833
-30,-19,11.313708498984761
-29,5.5,30.405591591021544
-28,-8.5,2.1213203435596424
-27,-4.5,11.058933040759403
-26,-1,9.754120008635178
-25,-9.833333333333334,11.92273102739113
-24,-1.5714285714285714,9.658452996505925
-23,-8.933333333333334,9.7428850718773
-22,-13.375,19.42464070881793
-21,-9.545454545454545,16.085270614320752
-20,-10.78048780487805,12.962469276958675
-19,-12.911764705882353,12.471464755796738
-18,-8.646153846153846,14.021669356337766
-17,-8.338461538461539,12.649452709352838
-16,-9.23076923076923,12.820062227580804
-15,-9.103703703703705,11.905895989573335
-14,-11.941798941798941,12.993525349261983
-13,-9.77659574468085,12.713338193732483
-12,-8.6340206185567,12.831513882535738
-11,-7.626923076923077,12.725618149675768
-10,-6.404624277456647,12.817487216848534
-9,-6.223618090452261,11.85694516261647
-8,-6.242424242424242,13.068724515592853
-7,-5.44921875,12.592101373518975
-6,-4.498220640569395,12.63998255689362
-5,-3.735483870967742,13.26020315263586
-4,-3.0589080459770117,12.520175646946061
-3,-1.9233038348082596,12.597273614167744
-2,-1.4930939226519337,12.814182445330005
-1,-0.372,13.245711803255418
0,0,13.228958673817939
1,0.372,13.245711803255418
2,1.4930939226519337,12.814182445330005
3,1.9233038348082596,12.597273614167744
4,3.0589080459770117,12.520175646946061
5,3.735483870967742,13.26020315263586
6,4.498220640569395,12.63998255689362
7,5.44921875,12.592101373518975
8,6.242424242424242,13.068724515592853
9,6.223618090452261,11.85694516261647
10,6.404624277456647,12.817487216848534
11,7.626923076923077,12.725618149675768
12,8.6340206185567,12.831513882535738
13,9.77659574468085,12.713338193732483
14,11.941798941798941,12.993525349261983
15,9.103703703703705,11.905895989573335
16,9.23076923076923,12.820062227580804
17,8.338461538461539,12.649452709352838
18,8.646153846153846,14.021669356337766
19,12.911764705882353,12.471464755796738
20,10.78048780487805,12.962469276958675
21,9.545454545454545,16.085270614320752
22,13.375,19.42464070881793
23,8.933333333333334,9.7428850718773
24,1.5714285714285714,9.658452996505925
25,9.833333333333334,11.92273102739113
26,1,9.754120008635178
27,4.5,11.058933040759403
28,8.5,2.1213203435596424
29,-5.5,30.405591591021544
30,19,11.313708498984761
31,-2.5,4.949747468305833
32,1,8.48528137423857
33,2,NA
34,-7,NA
35,23,NA
36,-6,16.97056274847714
37,4,11.789826122551595
38,20,NA
39,-11,NA
40,7.5,14.849242404917497
42,42,NA
